-1.0000000,-0.3800000,-0.1163597
-1.0000000,-0.3469565,-0.1176291
-1.0000000,-0.3139130,-0.1213131
-1.0000000,-0.2808696,-0.1249313
-1.0000000,-0.2478261,-0.1251958
-1.0000000,-0.2147826,-0.1281825
-1.0000000,-0.1817391,-0.1262064
-1.0000000,-0.1486957,-0.1233488
-1.0000000,-0.1156522,-0.1296323
-1.0000000,-0.0826087,-0.1306067
-1.0000000,-0.0495652,-0.1276688
-1.0000000,-0.0165217,-0.1282642
-1.0000000,0.0165217,-0.1290186
-1.0000000,0.0495652,-0.1319297
-1.0000000,0.0826087,-0.1288330
-1.0000000,0.1156522,-0.1260697
-1.0000000,0.1486957,-0.1314021
-1.0000000,0.1817391,-0.1277597
-1.0000000,0.2147826,-0.1309113
-1.0000000,0.2478261,-0.1277004
-1.0000000,0.2808696,-0.1277847
-1.0000000,0.3139130,-0.1211960
-1.0000000,0.3469565,-0.1223277
-1.0000000,0.3800000,-0.1155496
-0.9661017,-0.3800000,-0.1225492
-0.9661017,-0.3469565,-0.1257422
-0.9661017,-0.3139130,-0.1346970
-0.9661017,-0.2808696,-0.1305317
-0.9661017,-0.2478261,-0.1306334
-0.9661017,-0.2147826,-0.1315237
-0.9661017,-0.1817391,-0.1376333
-0.9661017,-0.1486957,-0.1354588
-0.9661017,-0.1156522,-0.1377472
-0.9661017,-0.0826087,-0.1378278
-0.9661017,-0.0495652,-0.1326117
-0.9661017,-0.0165217,-0.1384135
-0.9661017,0.0165217,-0.1360885
-0.9661017,0.0495652,-0.1331412
-0.9661017,0.0826087,-0.1371521
-0.9661017,0.1156522,-0.1351468
-0.9661017,0.1486957,-0.1336941
-0.9661017,0.1817391,-0.1328515
-0.9661017,0.2147826,-0.1355388
-0.9661017,0.2478261,-0.1302595
-0.9661017,0.2808696,-0.1248391
-0.9661017,0.3139130,-0.1317882
-0.9661017,0.3469565,-0.1226032
-0.9661017,0.3800000,-0.1226614
-0.9322034,-0.3800000,-0.1308438
-0.9322034,-0.3469565,-0.1250801
-0.9322034,-0.3139130,-0.1307599
-0.9322034,-0.2808696,-0.1384134
-0.9322034,-0.2478261,-0.1361643
-0.9322034,-0.2147826,-0.1360335
-0.9322034,-0.1817391,-0.1395091
-0.9322034,-0.1486957,-0.1378767
